Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1990,0,0,-0.3,-9.58,3.78,13.14,18.33,-2.4,0,0,3.01,3.53,4.35,0,3.5,3.14,8.98,-0.6,5.62,-9.12,4.44,-1.6,0,0,10.63,0.02,4.64,-3.1,-3.3,1.09,10.88,6.77,-2.15,0.15,0,3.67,0,3.33,3.91,-1.1,-6.11,-6.57,1,6.04,5.09,0.69,3.9,1.35,-2.95,0,0,7.4,0,5.26,0,5.25,1.48,-5.45,0.8,5.42,5.83,5.52,-1.41,2.32,3.68,5.7,3.58,0,3.78,0,2.73,2.97,15.14,0.68,5.8,2.91,0,3.74,5.19,0.72,-14.79,3.33,0,4.32,3.56,6.1,-1.76,0,4.01,-11.72,3.1,0,-3.04,3.26,3.83,0.1,-1.08,0,0,0,2,2.13,3.96,6.89,7.24,0.62,4.19,5.53,0,8.47,13.59,57.82,1.17,6.84,1.99,4.2,0.97,5.57,0,4.19,5.7,0,-0.87,4.89,9.81,0,0.35,6.7,26.53,-51.03,0,7.76,0.48,0.48,0.4,2.25,6.4,3.67,2.1,6.05,0.36,0,5.32,0,7.98,0,3.41,2.64,0,3.13,0,13.05,5.07,2.68,2.12,0,-2.5,6.29,2.82,12.86,0,-3.18,0,1,-1.77,7.19,5.69,9.01,1.74,2.05,3.6,-1.28,12.77,-0.09,4.18,1.93,4.64,0,0.15,3.18,-0.13,0,4.46,8.1,-4.98,3.04,0,-3.01,0,10.32,2.47,0,3.95,4.12,0,4.16,2.95,2.2,0,0,-3,-2.4,5.42,15.19,-5.47,-0.68,10.04,0,3.35,4.83,2.05,-1.48,0,2.41,0,2.41,0,0,-0.49,0,0,0.75,21.02,0,7,7.64,0,-4.18,5.42,-1.41,-0.24,11.17,-0.6,35.38,0.5,0,12.86,-2.04,5.42,2.41,1.51,7.95,9.27,0,7.05,6.47,-6.35,1.68,0.3,1.92,1.6,4.15,6.47,0,0,5.1,11.71,3,-4.42,0,0,-0.32,-0.48,6.99
1991,0,0,-1.2,-29.59,2.55,1.53,0.86,12.67,-11.7,0,2.18,-0.38,3.44,-0.7,5,1.83,4.23,9.07,3.49,-8.45,11.23,-4.18,0,-1.2,10.5,-3.53,5.27,1.51,-3.9,3.15,-0.41,7.46,-0.55,-2.13,-9.74,-0.92,0,7.8,9.29,0.04,-3.81,-8.42,2.4,2.28,-5.4,1.4,2.57,1.54,-10.69,0,0,0.74,-11.61,5.11,-4.28,0.61,1.39,0.94,-1.2,7.94,5.14,4.4,-5.23,0.44,4.29,1.08,2.66,0,2.55,0,-7.14,1.42,-18.72,-5.91,-2.7,1.04,0,7.43,6.11,-1.12,-21.1,5.28,0,2.61,3.11,5.1,-1.02,3.1,1.39,-0.11,3.66,0,5.98,1.5,5.7,3.25,0.91,0,0,0,1.03,1.05,1.35,1.29,6.91,1.42,1.6,1.06,0,1.93,12.72,-64.05,-0.22,7.7,1.54,4.84,1.82,3.32,-11,1.44,-7.85,0,0,-2.15,10.35,0,3.68,4.3,38.2,-14.23,0,0.38,3.69,1.35,0.37,1.8,4.6,1.11,1.13,6.97,0.43,0,8.64,0,3.66,0,7.22,1.02,0,-6.31,0,4.05,4.22,0.09,1.14,-6.17,11.75,6.26,-0.65,-1.92,0,-8.69,0,4.9,1.79,4.44,8.73,9.55,-0.28,8.17,4.9,2.5,-0.62,-0.19,2.44,3.08,6.37,0,-1.09,1.35,6.07,0,5.06,9.42,2.22,-0.58,0,9.55,-7.02,-11,0.85,0,4.37,3.49,0,0.07,1.24,4.9,0,-12.92,-5.05,-2.51,1.92,15.01,7.51,2.56,6.69,6,2.35,3.58,1.53,0,0,0.06,0,0.06,0,0,2.78,0,0,-1.15,1.76,0,2.76,7.9,0,8.54,7.94,-5.39,-0.7,8.56,-7.1,-4.61,4.03,0,-1.92,6.41,1.92,0.06,2.68,3.9,0.72,3.61,2.07,5.55,-8.41,1.16,3.54,-0.07,-0.49,1.14,9.73,0,0,5.96,3.14,1.42,-2.3,0,6.29,-1.02,-0.04,5.53
1992,0,0,-6.9,-7.2,0.93,4.8,3.34,11.94,-41.8,0,1.16,0.44,2.09,-22.6,1.01,1.53,2.96,0.23,5.44,-7.27,6.69,-3.83,0,-9.6,12.04,-0.06,1.65,-0.47,-5.7,4.76,4.6,2.92,-6.42,0.88,-1.76,-0.04,0,11.17,14.22,-0.24,-3.1,-10.5,2.61,5.03,8.53,10.94,9.2,-0.18,-11.58,0,0,9.4,-0.51,1.92,-0.02,2.05,1.96,10.51,1.8,10.76,4.37,3.41,-10.43,-0.61,2.11,4.43,1.41,0,0.93,0,-8.67,1.06,5.31,-3.32,6.1,1.6,0,4.01,-3.09,0.36,-44.9,3.88,0,3.27,3.38,1.1,34.75,0.7,-0.85,-5.11,4.84,0,7.83,2.07,6.23,5.62,-0.61,0,0,-3.06,0.98,0.97,0.84,1.18,6.5,0.45,0.79,5.48,0,3.34,3.3,32.59,-3.37,5.63,0.83,1.96,18.66,0.82,-5.3,-0.8,-13.89,0,0.88,4.28,6.18,0,2.56,5.56,4.5,-35.09,0,8.03,2.85,0.18,-3.69,3.61,4.4,2.16,0.75,6.96,-0.73,0,1.82,0,13.3,0,-2.1,1.37,0,1.19,0,4.54,3.63,7.14,0.81,-6.57,-3.22,4.69,9.66,4.71,0,-9.26,0,-5.23,1.87,6.51,-7.33,8.89,3.29,7.19,0.52,-6.52,0.43,0.39,1.71,3.57,4.11,0,1.11,2.03,8.41,0,7.71,8.2,-0.54,0.34,-6.4,13.85,2.51,1.31,4.06,0,1.09,1.7,0,4.73,1.82,0.9,0,-8.77,-14.53,5.87,5.72,3.99,6.58,1.24,7.09,12.69,-19.01,7.54,0.77,0,0,-1.42,0,-1.42,0,0,-0.2,0,0,-1.16,3.23,0,7.16,13.47,0,8,10.76,-9.32,-3.98,8.08,-29,-14.97,3.05,0,4.71,0.25,5.72,-1.42,-1.65,7.81,5.04,2.79,0.58,3.42,-9.7,0.43,7.93,3.56,-11.2,6.38,6.06,0,0,8.65,2.59,1.78,-0.2,0,8.21,-2.14,-1.73,-9.02
1993,0,0,-24.7,9.6,-1.03,3.2,1.26,5.91,-8.8,0,5.28,4.06,0.53,-23.1,-6.24,-0.96,5.84,3.46,4.71,-1.48,12.87,0.31,0,-7.6,6.28,3.01,4.27,4.67,0.8,0.3,1.99,1.92,0.34,2.66,1.57,-0.13,0,6.59,13.87,-0.19,-7.93,-13.47,-0.98,2.37,3.01,8.71,7.09,2.83,-14.88,0,0,0.7,0.06,-0.96,-6.62,1.68,0.01,7.22,-2.1,10.88,3.4,3.57,-5.49,-0.84,1.97,2.9,-0.66,13.45,-1.03,0,13.14,-0.15,6.39,-0.73,2.13,-0.61,0,8.14,3.95,2.51,-29.3,4.85,0,5.04,3.01,2.1,11.03,-1.6,-1.96,-5.03,3.93,0,8.21,1.32,6.2,6.23,0.76,0,0,-0.58,2.97,2.87,1.51,1.27,6.5,1.78,2.57,4.75,0,2.69,-1.47,30.29,1.31,5.56,-0.85,9.42,4.63,0.17,-9.2,0.35,-15.46,0,0.87,7.01,6.85,33.99,3.85,5.91,7,-32.98,0,0.31,3.9,-1.04,-0.18,4.33,6.9,1.77,2.74,3.51,3.24,0,4.2,0,5.19,0,-0.74,-0.91,0,2.1,0,2.49,4.06,6.01,2.78,-7.47,3.17,4.48,6.04,1.73,0,-3.17,0,8.77,5.87,5.08,9.69,9.89,2.74,-1.58,0.53,1.45,2.09,-0.39,1.26,2.85,3.85,0,6.4,1.35,6.04,0,1.76,5.46,5.24,2.12,-12.3,18.2,3.74,1.3,3.85,0,-2.04,4.94,0,2.35,1.08,0.1,0,1.53,-8.67,-8.11,4.4,-1.36,4.57,1.3,11.54,3.98,1.37,7.37,8.75,0,0,-0.05,0,-0.04,0,0,-7.25,1.9,0,-2.07,3.11,0,6.2,5.18,0,-15.71,10.88,-4.59,-15.1,8.25,-16.4,1.5,4.14,0,1.73,3.74,4.4,-0.04,-1.45,2.19,7.65,4.11,1.21,8.33,-14.23,3.07,2.66,2.75,-2.3,4.25,0.28,0,0,8.07,0.75,1.63,4.1,0,4,1.23,6.8,1.05
1994,0,0,3.5,8.3,2.38,3.21,6.9,5.84,5.4,0,6.68,4.05,2.4,-19.7,-3.83,3.23,2.02,1.32,3.89,1.82,-0.25,3.15,0,-11.7,0.16,0.6,4.67,5.33,2,3.15,4.95,3.63,4.9,4.49,4.13,1.27,0,5.03,13.05,0.81,2.06,-3.9,-5.49,5.84,-5.28,19.18,4.49,2.67,0.72,0,5.31,5.9,2.91,2.46,-0.94,1.43,5.33,2.3,-0.9,10.77,2.95,4.27,-10.46,1.08,4.26,3.97,2.47,21.22,2.38,0,3.19,2.84,3.56,3.94,5.1,2.35,0,-0.53,3.71,3.89,-10.4,3.3,0,3.97,0.15,3.2,16.67,2,1.69,5.92,4.03,0,8.52,3.17,6.04,-1.3,0.29,0,0,2.95,2.61,2.55,1.63,1.91,7.54,1.32,4,6.66,0,5.76,-1.7,3.85,3.61,6.93,2.15,1.38,4.99,0.86,-12.6,2.63,-20.09,9.1,1.72,5.31,9.21,8.44,4.54,8.16,8,-21.76,0,1.59,4.56,2.1,1.61,6.87,5.6,3.05,2.43,5.98,3.37,0,3.82,0,4.25,0,10.59,2.22,0,-0.07,0,2.7,4.73,5.88,2.44,-1.76,3.78,5.65,7.48,1.57,0,2.13,0,6.16,-3.06,4.14,-10.24,9.21,4.08,1.73,2.59,4,0.91,3.34,2.96,5.06,8.22,0,5.13,3.04,3.88,0,3.74,2.85,12.31,4.39,7.3,5.94,5.29,1.27,3.98,0,0.96,5.32,0,4.93,2.95,0.8,0,3.93,-12.57,-50.25,6.06,0.56,1.01,-0.02,10.93,9.19,-1.95,6.05,6.98,0,0,1.92,0,1.92,0,0,3.25,6.21,0,4.09,2.4,0,-0.8,7.65,0,10.14,10.77,-8.8,14.98,8,-21.3,-17.3,4.61,0,1.57,4.95,6.06,1.92,3.57,3.18,-4.67,10.28,1.57,6.4,-22.93,2.27,7.28,4.04,-5.2,-1.25,-2.35,0,0,8.84,9.06,3.01,-2.54,0,6.72,3.23,-8.63,9.24
1995,1.25,0,10.4,13.3,2.76,2.76,6.69,-2.85,6.9,0,-4.36,3.89,2.67,-11.8,-7.92,2.38,6.05,5.72,5.12,2.86,3.93,4.38,20.8,-10.4,0.64,4.4,4.68,4.42,2.02,4.48,7.07,7.03,7.2,2.68,5.78,0.48,0,8.93,10.95,7.13,4.13,0.7,3.99,5.2,3.61,14.21,4.12,3.06,2.46,0,0,8.47,6.22,1.74,-3.49,1.97,3.03,5.49,3.8,9.74,2.87,5.12,-1.22,2.16,2.25,4.64,2.47,2.86,2.76,0,6.13,2.69,3.58,4.21,2.5,2.09,0,7.08,4.97,2.51,2.6,4.11,0,4.61,0.88,4.4,17.49,2.1,2.13,3.73,4.95,0,4.99,2.89,2.37,4.06,4.81,0,0,1.49,3.79,3.76,3.25,1.93,8.22,4.74,4.28,7.57,0,9.63,2.4,2.12,0.12,6.6,2.89,2.35,6.19,2.74,-8.2,4.41,-5.42,6.44,0,5.75,9.57,4.86,1.38,7.03,6.53,-4.27,0,1.7,1.67,5.44,3.84,5.88,5.5,4.8,3.62,3.29,5.01,0,1.43,0,3.3,0,-5.41,2.12,0,1.71,0,2.99,-5.76,8.21,3.62,-1.11,0.92,6.34,6.95,2.63,0,6.38,0,2.24,9.82,4.29,16.73,9.83,2.72,3.9,5.94,2.61,-0.31,5.91,3.12,4.15,3.47,0,4.74,2.72,5,0,4.96,1.75,7.41,4.68,10.9,-3.31,6.95,2.91,4.08,0,4.28,6.82,7.12,4.04,2.71,0.5,0,7.14,-4.14,35.22,6.95,0.21,6,5.36,7.03,8.22,-8,6.4,9.29,0,0,3.23,0,3.23,0,0,1.1,5.84,0,4.02,4.83,0,-0.83,5.75,0,1.24,9.74,-0.23,7.85,8.12,-12.4,-7.2,1.6,0,2.6,3.71,6.95,3.23,4.66,2.35,7.88,-5,3.57,11.52,-12.2,3.28,-1.45,2.72,-0.9,7.77,3.95,0,0,9.54,1.01,3.05,6.67,0,5.67,3.12,2.9,0.16
1996,7.81,0,11.2,9.1,4.65,4.48,5.8,5.53,5.87,0,6.6,3.95,2.4,1.3,-8,1.59,4.32,11.01,4.52,1.6,4.11,4.22,88.96,2.8,1.43,2.6,4.36,2.21,3.97,2.88,5.57,5.83,-4,1.61,4.39,0.6,0,6.8,9.93,7.73,4.91,-1.02,4.29,2.06,-1.29,11.35,1.24,3.34,7.84,0,0,1.33,4.28,0.82,-4.12,2.64,2.9,7.13,4.1,8.94,5.46,5.09,0.2,1.79,1.73,4.99,1.73,9.26,2.67,5.32,12.43,2,6.76,3.66,4.8,1.39,0,-3.11,3.63,2.55,11.2,4.6,0,4.46,2.22,11.6,66.58,2.86,4.44,1.53,2.96,0,7.88,2.98,4.26,3.6,5.5,5.87,0,0.01,4.83,4.84,4.98,4.82,7.82,5.17,7.72,7.55,0,9.09,6.35,11.02,4.79,6.16,1.29,-0.11,2.09,3.1,0.5,4.15,7.08,5.41,1.69,5.89,7.59,0.61,3.2,6.93,5.14,12.12,0,2.9,3.34,5.84,5.97,6.91,3.8,5.87,4.78,5.6,4.38,5.15,1.39,2.36,-0.42,0,12.37,1.11,-5.88,2.15,0,4.94,5.87,-10.3,4.77,1.19,7.06,3.78,6.44,6.4,0,2.24,0,26.85,5.82,5.59,7.32,10,3.58,3.19,0.45,3.42,4.99,6.34,3.57,5.03,5.33,0,3.63,3.05,3.05,0,4.85,4.08,2.8,5.85,10.4,7.73,6.06,6.22,2.89,0,3.5,1.57,1.22,3.21,2.85,0.3,0,3.87,-3.6,12.75,6.85,2.64,5.92,2.01,7.53,1.61,1.75,1.71,4.86,0,2.43,5.27,0,5.27,0,0,1.27,6.76,3.52,1.52,3.84,0,4.92,4.4,0,2.21,8.94,0.93,8.84,5.65,-16.7,6.7,3.31,0,6.44,0.01,6.85,5.27,7.13,7.15,7.38,-5.96,4.54,9.07,-10,4.45,5.58,3.8,1.7,1.29,-0.2,0,0,9.34,2.33,3.38,7.18,0,4.63,4.31,6.22,10.36
1997,6.67,0,7.9,-10.84,9.07,4.19,8.19,8.11,3.32,0,5.47,3.95,2.21,5.8,-1.59,3.71,5.73,6.32,4.49,-1.1,3.09,2.06,34.39,11.4,3.55,4.6,4.95,3.4,4.74,-1.47,5.37,8.03,5.3,4.28,3.05,2.31,0,7.43,9.23,3.74,5.31,-5.62,-0.62,3.43,4.03,11.12,5.56,3.09,2.78,0,0,2.57,-0.67,1.85,-0.75,1.49,3.26,8,1.1,7.05,4.84,3.46,2.79,2.87,4.33,5.49,2.72,7.91,3.69,11.8,3.13,2.77,7.59,6.25,-2.2,2.34,0,-6.07,5.74,3.13,10.52,4.2,0,5.18,4.9,6.5,149.97,4.48,5.02,1.47,4.36,0,6.23,3.32,5.1,4.99,4.4,6.65,2.7,3.31,5.08,4.97,3.29,2.1,4.7,4.59,8.58,4.05,0,10.75,1.35,21.24,4.91,4.08,1.84,-1.14,3.31,1.08,1.7,0.47,9.92,5.62,1.67,6.9,5.92,2.47,5.03,6.87,-2.29,106.28,0,-0.83,5.1,5,3.42,7.23,6.41,3.94,4.87,3.7,4.98,8.29,5.71,8.97,-0.28,0,-1.56,2.24,1.65,3.69,0,3.57,6.96,-6.45,4.9,1.44,4.83,5.26,5.65,3.66,0,3.9,0,10.84,-4.04,5.69,3.79,7.32,4.47,4.22,2.01,2.75,2.8,3.97,4.3,5.28,5.05,0,2.04,3.4,6.03,0,1.01,6.46,6.48,5.19,2.3,-3.9,6.46,6.22,3.16,0,4.43,4.24,14.67,-1.13,3.2,1.9,0,-4.82,1.4,13.85,3.79,1.1,10.57,3.12,8.29,-1.44,-5.88,4.25,2.4,0,7.18,3.64,0,3.65,0,0,5.74,6.07,5.11,2.9,3.1,0,11.96,1.8,0,5.65,7.05,3.27,14.38,-2.75,1.7,-11.4,5.18,0,3.58,-0.13,3.79,3.65,7.52,5.44,7.58,10,3.53,5.1,-3,5.18,8.55,4.49,5.2,3.51,6.37,0,0,8.15,4.91,3.67,0.64,0,5.23,2.65,3.81,2.68
1998,1.15,0,6.8,9.01,3.19,5.1,0.29,3.85,7.3,0,4.73,4.44,3.56,10,4.75,1.98,3.96,7.31,5.18,3.5,4.79,4.72,15.6,8.4,3.74,3.9,5.03,0.34,3.74,-0.56,5.91,0.72,4.7,3.88,2.68,2.94,0,4.32,7.84,4.93,4.9,-1.62,3.74,0.57,1.28,12.52,6.96,2.89,0.16,0,0,5.24,-0.32,1.98,0.1,4.98,2.22,7.01,5.1,1.76,1.8,-0.11,-1.64,2.48,3.27,4.04,2.96,1.77,4.31,4.12,-3.46,2.98,11.86,5.43,1.3,3.56,0,2.96,3.48,3.19,3.1,4.7,0,3.64,3.5,-28.1,23.77,3.89,11.74,7.76,4.99,0,-1.71,2.71,-5.88,2.9,3.59,1.86,2.18,4.22,1.93,2.02,3.32,2.73,-13.13,3.95,13.51,6.18,0,8.23,2.08,34.86,6.57,4.25,1.62,-2.33,2.99,-1.13,-1.9,3.29,2.12,5.01,6.56,-0.67,-5.47,3.66,1.9,3.97,3.59,30.21,0,6.37,2.15,4.22,3.09,7.76,4.7,0.55,1.91,1.54,2.09,7.47,6.04,6.52,-4.57,0,7.24,3.5,-6.54,3.93,0,4.51,4.7,-2.84,1.89,3.38,7.57,5.13,5.87,6.73,4.9,3.34,0,11.86,2.78,6.07,3.9,-7.36,4.4,3.29,-3.2,10.42,2.72,3.71,4.53,2.62,3.02,0,0.81,2.78,2.64,0,2.55,7.34,-0.39,-0.58,2,-3.77,4.61,8.18,6.75,0,4.79,0.07,14.33,2.01,2.62,6.2,0,-2.09,-5.3,8.86,5.59,2.89,4.31,5.9,-2.23,1.78,1.79,3.75,7.52,0,2.43,2.5,0,2.5,0,0,1.56,4.01,3.29,4.23,2.6,0,8.4,6.34,0,6.95,1.76,-0.79,-2.3,-7.63,5.3,7.1,2.05,0,6.67,2.72,5.59,2.5,8.12,4.78,2.31,15.5,3.71,4.91,-1.9,2.28,4.52,4.45,4.3,4.09,0.29,0,0,5.76,4.3,2.52,2.19,0,6.01,0.52,-0.39,2.89
1999,4.51,0,3.24,13.5,4.1,1.81,2.9,-3.39,3.3,0,3.71,5.01,3.59,7.4,-1.01,3.56,5.34,7.4,4.67,-5.61,4.3,7.14,9.6,3.4,8.78,3.38,0.43,0.47,0.33,3.05,7.98,9.67,3.6,5.16,2.08,1.64,3.77,-0.41,7.67,1.62,4.06,-4.27,-2.58,-4.2,1.92,11.22,3.94,4.01,6.19,0,0,4.83,1.44,1.99,2.18,0.68,2.95,6.72,3.2,6.12,1.54,2.99,2.04,2.92,-4.74,6.11,2.99,0.01,4.48,-0.86,5.16,3.03,6.93,4.44,8.8,3.41,0,1.38,-8.93,3.28,2.87,4.4,0,3.81,6.4,1.03,25.66,3.07,6.91,1.38,3.85,0,2.97,3.28,2.51,-1.89,3.02,-0.94,2.71,3.2,3.18,3.16,2.91,1.87,0.79,4.01,13.69,8.85,0,10.86,2,17.58,4,3.74,1.56,1.05,3.41,-0.25,2.7,2.31,3.66,11.91,-1.54,3.39,11.31,-1.79,-0.03,7.31,-0.45,21.74,0,2.67,0.03,4.24,3.13,10.41,4.3,4.48,3.21,0.48,4.09,-1.13,8.48,2.62,-2.36,0,1.08,3.3,-3.37,4.66,0,2.01,2.67,-2.4,3.19,4.34,5.7,4.72,10.95,4.87,-9.4,3.07,0,7.82,7.71,2.61,3.04,6.14,4.73,3.37,0.9,-0.57,0.47,7.04,5.05,2.01,4.41,0,5.45,3.24,-0.12,0,3.66,3.92,1.49,3.08,-5.4,1.86,4.64,4.92,2.07,0,3.89,-1.37,8.28,4.46,3.31,4,0,-0.4,6.4,4.27,7.76,-3.76,3.1,6.36,6.1,-0.48,-1.98,3.45,9.08,0,-12.15,2.18,0,2.18,0,0,-0.87,-0.21,5.27,4.53,2.95,0,1.87,-3.55,0,-0.68,6.12,2.41,2.48,4.57,3.7,16.5,-0.1,0,4.84,3.88,7.76,2.18,8.02,6.05,-3.39,-1.56,4.84,8.05,-0.2,2.82,-1.94,4.69,4.3,2.71,-5.97,0,0,4.77,0.33,3.26,2.19,0,3.78,2.36,4.65,-0.82
